Correct Sentences,Incorrect Sentences,Incorrect Sentences
මම වීදිවල ඇවිදිමි.,මම වීදිවල ඇවිදිනවා.,ඇවිදිමි වීදිවල මම 
අපි කඳු නගින්නෙමු.,අපි කඳු නගිනවා.,නගින්නෙමු අපි කඳු.
ඔබ උද්යානයේ දුවන්නෙහි.,ඔබ උද්යානයේ දුවන්න.,උද්යානයේ දුවන්නෙහි ඔබ.
ඔවුන් විනෝද චාරිකාවක් සඳහා රැස්වෙති.,"ඔවුන් විනෝද චාරිකාවක් සඳහා රැස්වේ.",විනෝද චාරිකාවක්  ඔවුන් සඳහා රැස්වෙති.
මම ප්‍රීතියෙන් සිනාසෙමි.,මම ප්‍රීතියෙන් සිනාසෙනවා.,සිනාසෙමි මම ප්‍රීතියෙන්.
අපි තරු නරඹමු.,"අපි තරු නරඹනවා.
",තරු  අපි නරඹමු.
ඔබ හයියෙන් සංගීතය වාදනය කරන්නෙහි.,ඔබ හයියෙන් සංගීතය වාදනය කරයි.,වාදනය කරන්නෙහි ඔබ හයියෙන් සංගීතය. 
ඔවුන් විසින්  ඔවුන්ගේ ගීත ගායනා කෙරෙති.,ඔවුන් ඔවුන්ගේ ගීත ගායනා කරමි.,ගීත ඔවුන් විසින්  ඔවුන්ගේ  ගායනා කෙරෙති.
ඔවුහු  ඔවුන්ගේ ගීත ගායනා කරති.,"ඔවුන් ඔවුන්ගේ ගීත ගායනා කරනවා.
",ගායනා කරති ඔවුහු  ඔවුන්ගේ ගීත. 
මම විවේකයක් ගනිමි.,මම විවේකයක් ගන්නවා.,විවේකයක් මම ගනිමි.
අපි හිරු උදාව බලා සිටිමු.,"අපි හිරු උදාව බලා සිටිමි.
",හිරු උදාව බලා සිටිමු අපි.
ඔබ ඔබේ නම ලියන්නෙහි.,"ඔබ ඔබේ නම ලියන්න.",නම ලියන්නෙහි ඔබ ඔබේ.
ඔවුහු බිත්ති තීන්ත ආලේප කරති.,"ඔවුන් බිත්ති තීන්ත ආලේප කෙරෙහි.
", බිත්ති තීන්ත ඔවුහු ආලේප කරති.
"මම දුරකථනයට පිළිතුරු දෙමි.
","මම දුරකථනයට පිළිතුරු දෙමු.
","දුරකථනයට මම පිළිතුරු දෙමි.
"
අපි අපේ අදහස් බෙදාගන්නෙමු.,අපි අපේ අදහස් බෙදාගන්නවා.,බෙදාගන්නෙමු අපි අපේ අදහස්.
ඔබ ඔබේ උපරිමයෙන් උත්සාහ කරන්නෙහි.,ඔබ ඔබේ උපරිමයෙන් උත්සාහ කරන්න.,උත්සාහ කරන්නෙහි ඔබ ඔබේ උපරිමයෙන්.
ඔවුහු කාර්යය අවසන් කරති.,ඔවුන් කාර්යය අවසන් කරයි.,කාර්යය ඔවුහු අවසන් කරති.
මම සිල්ලර බඩු ගෙනියමි.,මම සිල්ලර බඩු ගෙනියනවා.,ගෙනියමි මම සිල්ලර බඩු.
අපි අපේ බල්ලා ඇවිද්දුවෙමු.,අපි අපේ බල්ලා ඇවිදිනවා.,බල්ලා අපි අපේ ඇවිද්දුවෙමු.
"ඔබ දවල්  කෑම කෑවෙහි .
","ඔයා දවල්ට කන්නේ තනියම.
",දවල්  කෑම කෑවෙහි ඔබ.
ඔවුහු චිත්‍රපට ගැන කතා කරති.,ඔවුන් චිත්‍රපට ගැන කතා කරනවා.,චිත්‍රපට ගැන ඔවුහු කතා කරති.
මම නැවුම් වාතය ආශ්වාස කරමි.,මම නැවුම් වාතය ආශ්වාස කරනවා.,නැවුම් වාතය මම ආශ්වාස කරමි.
අපි ගින්නෙන් පරිස්සන් වෙමු.,අපි ගින්නෙන් වාඩි වෙමි.,පරිස්සන් වෙමු අපි ගින්නෙන්.
ඔබ සතුටින් සිටින්නෙහි.,ඔයා ගොඩක් සතුටින් ඉන්නවා.,සතුටින් ඔබ සිටින්නෙහි.
ඔවුහු එකට ගමන් කිරීමට කැමති වෙති.,ඔවුන් එකට ගමන් කිරීමට කැමතියි.,ගමන් කිරීමට කැමති වෙති ඔවුහු එකට.
මම විභාගවලට පාඩම් කරමි.,මම විභාගවලට පාඩම් කරනවා.,පාඩම් කරමි මම විභාගවලට .
අපි එකිනෙකාට උදව් කරන්නෙමු.,අපි එකිනෙකාට උදව් කරනවා.,උදව් කරන්නෙමු අපි එකිනෙකාට.
ඔබ ක්‍රීඩා කිරීමෙන් සතුටක් ලබන්නෙහි.,ඔබ ක්‍රීඩා කිරීමෙන් සතුටක් ලබනවා.,ක්‍රීඩා කිරීමෙන් සතුටක් ලබන්නෙහි ඔබ.
ඔවුහු ගමනක් සැලසුම් කරති.,ඔවුන් ගමනක් සැලසුම් කරයි.,සතුටක් ලබන්නෙහි ඔබ ක්‍රීඩා කිරීමෙන්.
මම කෝපි එකක් බොමි.,මම කෝපි එකක් බොනවා.,එකක් මම කෝපි බොමි.
අපි එකට රෑ කෑම කමි.,අපි එකට රෑ කෑම කනවා.,රෑ කෑම කමි අපි එකට  රෑ කෑම කමි.
ඔබ වැස්සේ නටන්නෙහි.,ඔයා වැස්සේ නටනවා.,වැස්සේ ඔබ නටන්නෙහි.
ඔවුහු තම නිවස අලංකාර කරති.,ඔවුන් තම නිවස අලංකාර කරයි.,අලංකාර කරති ඔවුහු තම නිවස.
මම නිහඬ අවස්ථා භුක්ති විඳින්නෙමි.,මම නිහඬ අවස්ථා භුක්ති විඳින්නෙමු.,නිහඬ අවස්ථා මම භුක්ති විඳින්නෙමි.
අපි කේක් එකක් පුළුස්සමු.,අපි කේක් එකක් පුළුස්සි.,පුළුස්සමු අපි කේක් එකක් .
ඔබ කුරුල්ලන් පියාසර කරන ආකාරය බලන්නෙහි.,ඔබ කුරුල්ලන් පියාසර කරන ආකාරය බලන්න.,බලන්නෙහි ඔබ කුරුල්ලන් පියාසර කරන ආකාරය.
ඔවුහු නව අදහස් සාකච්ඡා කරති.,ඔවුන් නව අදහස් සාකච්ඡා කරන්නෙහි.,නව අදහස් ඔවුහු සාකච්ඡා කරති.
මම පිළිතුරු සොයමි.,මම පිළිතුරු සොයු.,පිළිතුරු සොයමි මම.
අපි එකට රෑ කෑම උයන්නෙමු.,අපි එකට රෑ කෑම උයනවා.,රෑ කෑම අපි එකට උයන්නෙමු.
ඔබ පොතක් කියවන්නෙහි.,ඔබ පොතක් කියවනවා.,කියවන්නෙහි ඔබ පොතක්.
ඔවුහු ඔවුන්ගේ මිතුරන් බැලීමට යති.,ඔවුන් ඔවුන්ගේ මිතුරන් බැලීමට.,ඔවුන්ගේ මිතුරන් ඔවුහු බැලීමට යති.
මම කවුළුව විවෘත කරමි.,මම කවුළුව විවෘත කරන්නෙහි.,විවෘත කරමි මම කවුළුව.
